@relation cpu-weka.filters.unsupervised.instance.NonSparseToSparse

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
{0 26,1 8000,2 16000,4 8,5 16,6 185}
{0 480,1 96,2 512,4 1,5 1,6 6}
{0 203,1 1000,2 2000,4 1,5 5,6 24}
{0 115,1 512,2 6000,3 16,4 1,5 6,6 45}
{0 1100,1 512,2 1500,4 1,5 1,6 7}
{0 1100,1 768,2 2000,4 1,5 1,6 13}
{0 600,1 768,2 2000,4 1,5 1,6 16}
{0 400,1 2000,2 4000,4 1,5 1,6 32}
{0 400,1 4000,2 8000,4 1,5 1,6 32}
{0 900,1 1000,2 1000,4 1,5 2,6 11}
{0 900,1 512,2 1000,4 1,5 2,6 11}
{0 900,1 1000,2 4000,3 4,4 1,5 2,6 18}
{0 900,1 1000,2 4000,3 8,4 1,5 2,6 22}
{0 900,1 2000,2 4000,4 3,5 6,6 37}
{0 225,1 2000,2 4000,3 8,4 3,5 6,6 40}
{0 225,1 2000,2 4000,3 8,4 3,5 6,6 34}
{0 180,1 2000,2 8000,3 8,4 1,5 6,6 50}
{0 185,1 2000,2 16000,3 16,4 1,5 6,6 76}
{0 180,1 2000,2 16000,3 16,4 1,5 6,6 66}
{0 225,1 1000,2 4000,3 2,4 3,5 6,6 24}
{0 25,1 2000,2 12000,3 8,4 1,5 4,6 49}
{0 25,1 2000,2 12000,3 16,4 3,5 5,6 66}
{0 17,1 4000,2 16000,3 8,4 6,5 12,6 100}
{0 17,1 4000,2 16000,3 32,4 6,5 12,6 133}
{0 1500,1 768,2 1000,6 12}
{0 1500,1 768,2 2000,6 18}
{0 800,1 768,2 2000,6 20}
{0 50,1 2000,2 4000,4 3,5 6,6 27}
{0 50,1 2000,2 8000,3 8,4 3,5 6,6 45}
{0 50,1 2000,2 8000,3 8,4 1,5 6,6 56}
{0 50,1 2000,2 16000,3 24,4 1,5 6,6 70}
{0 50,1 2000,2 16000,3 24,4 1,5 6,6 80}
{0 50,1 8000,2 16000,3 48,4 1,5 10,6 136}
{0 100,1 1000,2 8000,4 2,5 6,6 16}
{0 100,1 1000,2 8000,3 24,4 2,5 6,6 26}
{0 100,1 1000,2 8000,3 24,4 3,5 6,6 32}
{0 50,1 2000,2 16000,3 12,4 3,5 16,6 45}
{0 50,1 2000,2 16000,3 24,4 6,5 16,6 54}
{0 50,1 2000,2 16000,3 24,4 6,5 16,6 65}
{0 150,1 512,2 4000,4 8,5 128,6 30}
{0 115,1 2000,2 8000,3 16,4 1,5 3,6 50}
{0 115,1 2000,2 4000,3 2,4 1,5 5,6 40}
{0 92,1 2000,2 8000,3 32,4 1,5 6,6 62}
{0 92,1 2000,2 8000,3 32,4 1,5 6,6 60}
{0 92,1 2000,2 8000,3 4,4 1,5 6,6 50}
{0 75,1 4000,2 16000,3 16,4 1,5 6,6 66}
{0 60,1 4000,2 16000,3 32,4 1,5 6,6 86}
{0 60,1 2000,2 16000,3 64,4 5,5 8,6 74}
{0 60,1 4000,2 16000,3 64,4 5,5 8,6 93}
{0 50,1 4000,2 16000,3 64,4 5,5 10,6 111}
{0 72,1 4000,2 16000,3 64,4 8,5 16,6 143}
{0 72,1 2000,2 8000,3 16,4 6,5 8,6 105}
{0 40,1 8000,2 16000,3 32,4 8,5 16,6 214}
{0 40,1 8000,2 32000,3 64,4 8,5 24,6 277}
{0 35,1 8000,2 32000,3 64,4 8,5 24,6 370}
{0 38,1 16000,2 32000,3 128,4 16,5 32,6 510}
{0 48,1 4000,2 24000,3 32,4 8,5 24,6 214}
{0 38,1 8000,2 32000,3 64,4 8,5 24,6 326}
{0 30,1 16000,2 32000,3 256,4 16,5 24,6 510}
{0 112,1 1000,2 1000,4 1,5 4,6 8}
{0 84,1 1000,2 2000,4 1,5 6,6 12}
{0 56,1 1000,2 4000,4 1,5 6,6 17}
{0 56,1 2000,2 6000,4 1,5 8,6 21}
{0 56,1 2000,2 8000,4 1,5 8,6 24}
{0 56,1 4000,2 8000,4 1,5 8,6 34}
{0 56,1 4000,2 12000,4 1,5 8,6 42}
{0 56,1 4000,2 16000,4 1,5 8,6 46}
{0 38,1 4000,2 8000,3 32,4 16,5 32,6 51}
{0 38,1 4000,2 8000,3 32,4 16,5 32,6 116}
{0 38,1 8000,2 16000,3 64,4 4,5 8,6 100}
{0 38,1 8000,2 24000,3 160,4 4,5 8,6 140}
{0 38,1 4000,2 16000,3 128,4 16,5 32,6 212}
{0 200,1 1000,2 2000,4 1,5 2,6 25}
{0 200,1 1000,2 4000,4 1,5 4,6 30}
{0 200,1 2000,2 8000,3 64,4 1,5 5,6 41}
{0 250,1 512,2 4000,4 1,5 7,6 25}
{0 250,1 512,2 4000,4 4,5 7,6 50}
{0 250,1 1000,2 16000,3 1,4 1,5 8,6 50}
{0 160,1 512,2 4000,3 2,4 1,5 5,6 30}
{0 160,1 512,2 2000,3 2,4 3,5 8,6 32}
{0 160,1 1000,2 4000,3 8,4 1,5 14,6 38}
{0 160,1 1000,2 8000,3 16,4 1,5 14,6 60}
{0 160,1 2000,2 8000,3 32,4 1,5 13,6 109}
{0 240,1 512,2 1000,3 8,4 1,5 3,6 6}
{0 240,1 512,2 2000,3 8,4 1,5 5,6 11}
{0 105,1 2000,2 4000,3 8,4 3,5 8,6 22}
{0 105,1 2000,2 6000,3 16,4 6,5 16,6 33}
{0 105,1 2000,2 8000,3 16,4 4,5 14,6 58}
{0 52,1 4000,2 16000,3 32,4 4,5 12,6 130}
{0 70,1 4000,2 12000,3 8,4 6,5 8,6 75}
{0 59,1 4000,2 12000,3 32,4 6,5 12,6 113}
{0 59,1 8000,2 16000,3 64,4 12,5 24,6 188}
{0 26,1 8000,2 24000,3 32,4 8,5 16,6 173}
{0 26,1 8000,2 32000,3 64,4 12,5 16,6 248}
{0 26,1 8000,2 32000,3 128,4 24,5 32,6 405}
{0 116,1 2000,2 8000,3 32,4 5,5 28,6 70}
{0 50,1 2000,2 32000,3 24,4 6,5 26,6 114}
{0 50,1 2000,2 32000,3 48,4 26,5 52,6 208}
{0 50,1 2000,2 32000,3 112,4 52,5 104,6 307}
{0 50,1 4000,2 32000,3 112,4 52,5 104,6 397}
{0 30,1 8000,2 64000,3 96,4 12,5 176,6 915}
{0 30,1 8000,2 64000,3 128,4 12,5 176,6 1150}
{0 180,1 262,2 4000,4 1,5 3,6 12}
{0 180,1 512,2 4000,4 1,5 3,6 14}
{0 180,1 262,2 4000,4 1,5 3,6 18}
{0 180,1 512,2 4000,4 1,5 3,6 21}
{0 124,1 1000,2 8000,4 1,5 8,6 42}
{0 98,1 1000,2 8000,3 32,4 2,5 8,6 46}
{0 125,1 2000,2 8000,4 2,5 14,6 52}
{0 480,1 512,2 8000,3 32,6 67}
{0 480,1 1000,2 4000,6 45}
